rank,subscribers,Title,category,video views,highest_yearly_earnings,Country
214,26300000,BB Ki Vines,Entertainment,4749833967.0,828600.0,India
216,26200000,Junya.ïïïï,Entertainment,16097531087.0,34600000.0,Japan
217,26100000,Smosh,Comedy,10435474336.0,3300000.0,United States of America
220,26000000,Beyoncï,Music,17308961985.0,2700000.0,United States of America
222,25900000,Indosiar,Music,11372071889.0,11000000.0,Indonesia
223,25800000,VanossGaming,Gaming,15541421838.0,2600000.0,Canada
224,25700000,David Guetta,Music,17793809548.0,7900000.0,United States of America
225,25700000,LosPolinesios,People & Blogs,7466926260.0,1500000.0,Mexico
226,25700000,Nicki Minaj,Music,10242981063.0,5000000.0,United States of America
228,25600000,TaylorSwiftVEVO,Music,25592378292.0,15300000.0,United States of America
230,25500000,Post Malone,Music,14401218086.0,9400000.0,United States of America
231,25400000,Rans Entertainment,People & Blogs,6430853035.0,2800000.0,Indonesia
232,25400000,LankyBox,Comedy,34300482066.0,39100000.0,United States of America
233,25300000,Coldplay,Music,17331663193.0,9500000.0,United Kingdom
235,25200000,WB Kids,People & Blogs,11081602368.0,6700000.0,United States of America
238,25200000,The Lallantop,News & Politics,10409352249.0,13100000.0,India
239,25100000,RihannaVEVO,Music,19458807708.0,4500000.0,United States of America
240,25100000,WatchMojo.com,Music,16357064198.0,2400000.0,Canada
241,25000000,TRANS7 OFFICIAL,Entertainment,14169516119.0,5900000.0,Indonesia
242,25000000,Anuel AA,Music,14827085149.0,13600000.0,Colombia
243,24800000,Dan Rhodes,Entertainment,17387583720.0,15900000.0,United Kingdom
244,24800000,Yuya,Howto & Style,2588501115.0,16100.0,Mexico
245,24800000,America's Got Talent,Entertainment,3699352704.0,6500000.0,United States of America
247,24700000,EminemVEVO,Music,20531704527.0,6700000.0,United States of America
248,24700000,Chloe Ting,Howto & Style,2994726412.0,1100000.0,Australia
249,24600000,KatyPerryVEVO,Music,23755792542.0,4300000.0,United States of America
250,24600000,Mark Rober,Science & Technology,3647987299.0,4300000.0,United States of America
251,24500000,1theK (ïïïïï,Music,23962070944.0,5100000.0,South Korea
252,24400000,Like Nastya AE,Entertainment,12385924995.0,8200000.0,United States of America
254,24300000,Pen Movies,Film & Animation,6608773195.0,4600000.0,India
255,24200000,MrBeast en Espaïï,Entertainment,2700914170.0,1600000.0,Mexico
258,24100000,Alejo Igoa,Comedy,10999000479.0,19300000.0,Argentina
260,24100000,netd mïï,Music,56106087508.0,20400000.0,Turkey
261,24100000,DJ Snake,Music,8425505919.0,3000000.0,United States of America
263,24100000,KSI,Entertainment,6002166932.0,261100.0,United Kingdom
264,24000000,Spider Slack,Comedy,13943030228.0,36500000.0,Brazil
266,24000000,Preston,Gaming,8279004442.0,7300000.0,United States of America
267,23900000,James Charles,Entertainment,4067878931.0,2800000.0,United States of America
268,23900000,Collins Key,Entertainment,6582932625.0,520900.0,United States of America
269,23900000,Diana and Roma EN,People & Blogs,7213499085.0,8500000.0,United States of America
271,23800000,Troom Troom,Howto & Style,10414479943.0,4700000.0,United States of America
272,23800000,Enrique Iglesias,Music,17688774915.0,5900000.0,United States of America
273,23700000,Ninja,Gaming,2543809954.0,401700.0,United States of America
275,23700000,Mister Max,People & Blogs,15510153803.0,1600000.0,United Kingdom
276,23700000,That Little Puff,Pets & Animals,20289689389.0,36200000.0,United States of America
278,23600000,Juan De Dios Pantoja,Entertainment,2135644776.0,2200000.0,Mexico
279,23600000,Logan Paul,Entertainment,5994002464.0,518600.0,United States of America
280,23600000,Maya and Mary,Entertainment,6766461070.0,2100000.0,United States of America
281,23600000,Peppa Pig Espaïïïïïïïïï,Film & Animation,7920637200.0,2600000.0,United Kingdom
282,23500000,Jelly,Gaming,14777034543.0,2000000.0,United Kingdom
283,23500000,Miss Katy,People & Blogs,14696994366.0,2900000.0,United Kingdom
284,23400000,Tilak,Film & Animation,9465863821.0,17600000.0,India
285,23400000,Valentina Pontes ofc,Film & Animation,7926899136.0,1400000.0,Brazil
286,23300000,Sesame Street,Entertainment,22471357411.0,6000000.0,United States of America
288,23200000,Lady Gaga,People & Blogs,15751661213.0,6900000.0,United States of America
290,23100000,Wave Music Bhojpuri,Music,12889240875.0,2500000.0,India
291,23100000,GMM GRAMMY OFFICIAL,Music,25579831081.0,6300000.0,Thailand
292,23100000,TED,People & Blogs,2551113422.0,635800.0,United States of America
293,23100000,unknown boy varun,Music,9299371231.0,14600000.0,India
294,23100000,Kids TV - Nursery Rhymes And Baby Songs,Shows,13151870846.0,6200000.0,United States of America
295,23000000,Tsuriki Show,Entertainment,31494513067.0,36300000.0,Germany
296,23000000,Technical Guruji,Science & Technology,3378047383.0,1100000.0,India
297,23000000,DrossRotzank,Entertainment,6041264489.0,1700000.0,Argentina
298,23000000,White Hill Music,Entertainment,10939966484.0,4500000.0,India
301,22900000,toyorbabytv,Music,16298342829.0,8100000.0,Jordan
